,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedford,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,"Bournemouth, Christchurch and Poole",Bracknell Forest,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Camden,Central Bedfordshire,Cheshire East,Cheshire West and Chester,City of London,Cornwall,County Durham,Coventry,Croydon,Darlington,Derby,Doncaster,Dorset,Dudley,Ealing,East Riding of Yorkshire,Enfield,Gateshead,Greenwich,Hackney,Halton,Hammersmith and Fulham,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hillingdon,Hounslow,Isle of Wight,Isles of Scilly,Islington,Kensington and Chelsea,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Leeds,Leicester,Lewisham,Liverpool,Luton,Manchester,Medway,Merton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,Northumberland,Nottingham,Oldham,Peterborough,Plymouth,Portsmouth,Reading,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Rutland,Salford,Sandwell,Sefton,Sheffield,Shropshire,Slough,Solihull,South Gloucestershire,South Tyneside,Southampton,Southend-on-Sea,Southwark,St. Helens,Stockport,Stockton-on-Tees,Stoke-on-Trent,Sunderland,Sutton,Swindon,Tameside,Telford and Wrekin,Thurrock,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,West Berkshire,Westminster,Wigan,Wiltshire,Windsor and Maidenhead,Wirral,Wokingham,Wolverhampton,York,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,Cumbria,Lancashire,East Sussex,Hampshire,Kent,Oxfordshire,Surrey,West Sussex,Devon,Gloucestershire,Somerset,Staffordshire,Warwickshire,Worcestershire,North Yorkshire
Barking and Dagenham,0,5608,15500,15776,8038,7253,10018,16909,15478,13978,13671,8114,14660,6070,9093,11398,5721,9805,15058,16603,5540,9554,13373,14992,3429,22460,38261,8638,5601,13640,11698,11781,39512,13487,6981,17861,4618,16340,3825,3587,14605,5658,4393,6441,19280,2521,42733,8308,7997,16648,,3822,5283,15261,5961,19255,16837,5570,13040,9021,6139,13941,6440,12538,8614,6632,16198,7461,15620,2651,16011,31549,15536,19831,,11181,16378,8241,16378,11061,6898,3250,19262,6301,15118,14076,,13798,12388,16855,13100,15882,7161,10701,11409,18959,8973,4401,5098,15188,11878,15478,10198,17660,6741,9021,15602,20885,4467,16395,3140,16607,12080,12298,3759,5743,12201,14136,4178,12861,13386,8869,17106,8120,11698,11840,17533,10658,28801,12270,27995,9151,4744,10470,45017,25418,,14579,11397,9818,7688,9930,6469,11016,14501,12591,33695,,11765,30033,16021
Barnet,6084,0,17263,14081,5993,6025,7197,14638,13198,11878,12734,7023,13137,3717,7772,9729,3957,8856,12609,16318,2962,7214,11318,12783,2709,21871,36779,5817,4077,11518,8743,8877,37556,10239,5589,15913,3441,14098,4304,3444,11551,4481,3196,3357,17278,5692,40632,6751,6305,15185,,2718,4119,12297,4797,16484,14746,4294,10797,7017,4387,10603,4086,10029,6802,5247,15058,4077,13318,4915,14450,28185,13323,16250,,8937,13480,5397,15849,10677,5457,5126,18902,4276,13029,11277,,11409,9807,13817,11263,13038,5397,9077,9968,16237,7917,6717,4157,12525,9369,14338,7437,15665,4977,7089,12821,18376,6578,16526,4076,13748,9957,8877,3999,4082,9478,11629,3614,10138,10660,8017,14693,7029,9057,9478,12778,9435,26286,9546,24612,6859,7180,7094,45560,27438,,11916,10174,8234,6907,8971,5305,10453,14021,10802,31758,,10457,27609,13119
Barnsley,15447,13207,0,20077,10860,15028,6240,10860,11700,8100,25111,16674,6120,13489,16415,12180,13260,17307,8340,6261,12385,34086,10298,12714,12192,40402,13982,7680,12360,7620,3900,3776,45994,9540,14712,10396,12900,10680,13787,12654,9304,13197,12771,12960,12540,15055,40515,15523,15656,27488,,11841,13242,6840,14100,3727,12528,13247,3836,6120,13769,9000,12840,5820,18307,14730,10320,9300,9780,14409,8873,29950,15898,13399,,5220,8820,7620,19800,19080,14220,14369,14164,13867,8100,2640,,7080,8790,12694,1680,11301,14580,8940,15035,13299,17520,16140,13177,9971,5160,9600,7500,12727,13980,12960,6992,17479,16829,19800,13499,10130,1080,7860,13182,13385,7380,38355,12440,8100,20911,16555,12644,15120,8040,6720,9675,6197,30675,13865,9562,13978,16723,36129,51083,39392,,10090,36254,17736,15790,16150,15508,35433,17147,9785,40196,,11947,38207,5981
Bath and North East Somerset,15161,13821,17551,0,15091,15766,9991,21109,20491,19471,14642,11888,19231,12723,15606,2979,13454,15579,20371,21174,12133,38539,40748,19525,12602,17693,47327,11671,12151,22514,12451,17971,46847,12751,12744,26688,13514,25274,13284,12893,18544,12011,13565,13274,44505,15189,41368,14002,13718,20083,,12155,11276,21811,13214,22926,21095,13144,17551,14851,13963,17011,14774,16951,19058,13388,24031,13771,24554,14123,24384,45083,5485,27143,,16411,20642,15974,11431,12391,8354,14503,27892,13765,19411,16471,,18991,12421,20225,14911,14452,10334,11911,4926,27413,10351,16754,12891,19818,16351,25771,14551,26011,13994,6554,19323,54212,17443,9331,13213,19846,16651,12271,13436,11982,15391,42808,12091,16051,7862,12654,20090,9854,11311,19591,16366,16696,42328,18614,,17004,17337,40582,54114,40245,,17829,37107,14046,16404,9640,13259,39886,9138,8773,41049,,12698,42660,21612
Bedford,7407,5140,12480,33580,0,7528,9900,16168,,14580,16771,8814,13440,4909,8795,11220,5820,7119,13763,15623,4205,3654,14635,16494,4308,22882,34032,8460,4980,12000,7980,8700,39094,13130,7560,17601,5400,14580,5812,4784,13864,5757,4191,5640,17760,6835,42085,7879,8036,17948,,4915,5982,12900,7020,18995,16096,5889,10920,6000,6058,13200,1080,11243,7933,7331,15540,4724,13800,6478,13793,27130,16078,16732,,8160,15083,5040,16800,11760,7020,6629,19384,5647,16440,11580,,13329,12450,16114,10440,15201,6540,11580,12011,16719,9900,8640,4941,14447,10583,14820,8903,16147,6240,9360,14307,16939,8609,16817,5339,17518,9900,12180,4662,6322,11460,13695,4817,12120,13808,9568,16365,8880,12120,9960,14295,9716,27855,8049,50074,8290,8923,8949,46583,30812,,13838,24674,10097,7817,11789,7108,11596,14923,12630,33296,,12127,30227,13601
Bexley,7036,6201,15864,32390,7634,0,9734,17406,15494,14474,14381,8824,15024,7065,7849,11976,4324,10417,16187,16967,6381,10088,14090,15964,4098,22836,38292,8414,5216,14350,11114,11414,38961,13024,7694,18571,7376,17050,3349,7796,39651,6700,6824,7278,19990,6644,42602,8433,8692,16282,,5895,5516,15494,5294,18889,42303,5595,13404,9956,4011,12918,6074,13547,8109,6385,15614,7278,16330,5087,15888,31580,16148,20541,,12176,17567,7394,16754,11054,7429,6039,19458,5121,15494,15974,,15779,12344,16188,13514,17439,7696,10954,12567,19669,8958,7450,5250,39154,12887,14894,11087,18370,5174,9370,16760,21126,7779,16771,5414,17412,12444,12074,7298,5239,13727,14965,4955,14387,13762,9604,17582,8830,12914,12550,16949,10471,29516,41963,28007,9384,7853,29096,47073,27522,,14425,10892,9155,6208,10919,6342,11380,14877,12400,33163,,12265,29848,16385
Birmingham,9687,7147,7140,9479,7140,10468,0,9138,9420,6780,14071,9234,8820,7849,11375,4740,7560,7866,7920,11181,6625,9594,5914,8214,6492,21082,40502,1200,7620,10620,2520,7560,39394,2714,9300,14961,7920,13200,8122,6987,7137,7497,7251,6840,14160,9295,7635,8839,10016,20412,,6141,7242,10560,7800,11536,9956,7470,7020,3540,8518,5940,6840,5220,10633,8711,12720,2820,12600,8709,10853,30730,8034,16290,,4440,8700,7320,12780,12720,5760,8789,15784,8740,8880,6060,,6180,2184,8854,4500,5241,7570,480,7175,15819,9540,10680,7521,7902,4560,13080,2760,14520,8580,6360,7652,9979,11187,12480,7799,9302,6180,1620,7422,7745,4260,31875,6620,4920,11702,9515,9105,8460,960,8880,6195,6557,31455,8289,11442,10990,10783,29649,49763,32912,,6910,29774,11117,10990,6430,8848,13046,10847,3570,33596,,5467,8282,10181
Blackburn with Darwen,16588,,11594,25417,16394,17022,11294,0,7769,1694,25785,18428,8220,14236,17569,16994,13934,16301,4454,8959,13179,39680,10008,13388,13046,44676,41356,12914,14054,12854,11474,9974,51588,12374,15818,15815,15194,15434,14461,13553,8082,14771,13925,12494,15014,16209,46215,15146,16330,31508,,12815,13796,13229,14774,10290,8822,14023,10560,12974,15163,5894,15494,3134,20301,15404,13574,10634,14654,15192,14527,31944,21128,17586,,13649,5414,14294,24540,21074,17429,15583,16638,14541,4514,9494,,2594,12998,9048,8474,11750,15254,12929,20545,17573,19994,16814,14631,6661,4394,13934,7214,16814,14654,17354,6166,21199,17503,25097,14293,6496,16740,10754,14096,14187,5294,43949,13234,3674,22905,17229,10919,18434,10034,10034,13469,14846,32669,16257,33877,18024,17397,41723,46357,41386,,4679,38248,20210,16464,18144,16182,41027,22806,15764,45790,,39323,33001,12115
Blackpool,16827,14077,12600,23377,15300,16528,10680,5418,0,3180,40891,18654,9480,13969,17075,14700,14340,18685,6000,9863,12985,,10358,11094,12912,42502,42782,12300,13560,11760,10620,12180,49414,10680,15924,18617,14700,14460,14327,13299,7204,14277,13491,12780,16320,15835,43935,16272,16676,29468,,12561,14022,12840,14580,11776,6948,13830,9120,13260,15269,4920,16140,4560,21607,14717,14100,11100,13620,14998,15653,34930,18834,17179,,13260,6871,14940,22500,19800,15360,15629,17944,14047,6660,10800,,3960,10704,8254,10080,9681,14820,10860,18251,17079,18840,16980,14377,3647,5760,13380,7560,18360,15360,16500,7532,16699,17009,23057,14039,8282,10680,11220,13782,14225,4320,41775,12980,2700,24554,17189,7830,17880,7740,10020,15315,13337,35655,17563,34837,17530,18703,39549,47663,39212,,2290,36074,18695,17830,15850,15148,38853,20766,13470,43616,,37794,35987,13658
Bolton,14427,12067,9300,23017,13740,15028,7380,1758,3600,0,21871,17034,7860,12649,16535,13860,12720,14305,2307,8066,11365,,6970,8694,11352,41542,16142,9000,12480,9780,9120,8880,48454,8640,14004,12617,12120,12840,12742,11799,6064,12657,11991,11400,11880,14515,39195,13152,14936,33548,,11001,12402,9780,12960,8231,6228,12330,5820,11340,13709,5340,14520,1260,18307,13097,10440,9120,11940,13498,12533,30250,17578,15559,,9420,3571,11640,21480,18180,13560,13709,13504,13087,3360,7500,,660,9210,6454,6300,7678,13260,10940,16715,15459,17340,15660,12397,4547,2460,11760,4260,14887,13740,14640,4112,16159,15509,21480,12359,4364,7380,9120,12282,12605,3240,40635,11480,1080,22591,15235,8264,15480,6240,7860,11475,11477,30975,14263,33577,16750,16099,38409,55043,38792,,2771,35654,17075,14470,14230,13528,37713,18827,11465,42656,,13627,31307,9821
"Bournemouth, Christchurch and Poole",14826,13533,23319,17287,15099,14527,15459,42297,26199,22839,0,14433,27339,13408,14594,12930,12339,16884,22719,39420,12424,38145,42274,32613,11422,,48341,14139,10899,21039,18279,21099,6544,21459,15831,47280,13599,23739,12386,12882,24492,14243,12990,13179,45519,14554,46374,17444,14855,11799,,11940,13411,39999,11379,43278,24763,11776,23259,16779,13268,21159,15939,19959,17806,11553,25179,14979,23019,13597,26792,41209,16833,25891,,19419,23739,16419,17799,7479,11019,14228,45043,11386,24939,23319,,22299,17829,24373,20859,21660,13119,15459,16094,25878,5259,16119,12136,24758,19419,42459,17679,24759,11559,13059,23563,50218,16808,18056,13058,23797,22299,16959,13221,10732,21879,38814,11477,22539,15670,14914,25403,13299,16959,19059,37314,19136,41934,19457,37636,17329,16837,40188,47462,39851,,24317,36713,7436,16189,15649,8947,35892,18174,17384,40655,,40186,42266,22760
Bracknell Forest,8947,6827,16420,9399,10720,8408,7480,18100,16600,15700,10811,0,15580,6029,8115,6940,5380,9792,16420,17463,6185,11614,14975,16774,5063,19202,39162,6160,4360,14560,10420,11980,57533,10769,5945,18781,6580,17200,6175,6214,15275,4704,6511,5740,20200,8375,39235,6288,6213,12820,,5521,5085,15400,4780,20175,18584,5518,13900,10180,7113,14140,9580,13720,8333,5278,17380,7180,16480,6878,16773,33350,10654,20691,,12340,17380,8500,13840,8500,1420,7449,19844,3167,16600,14936,,15520,10390,17414,13960,13441,3220,7540,7578,19819,5260,8920,5897,15987,13120,16660,10780,18520,5200,4660,16604,37462,10089,13857,6639,18638,12940,9580,6742,4459,12940,11298,4698,13600,7991,3707,17064,820,8980,12700,14335,13377,34075,12983,29777,10250,9203,32329,49563,31992,,15378,33354,7737,9230,5594,5108,11876,12697,9430,27899,,7067,29727,16881
Bradford,15447,13207,4860,23677,14400,16348,10440,5714,7440,6420,25111,16674,0,13489,16895,15060,13260,17307,5280,1943,12385,34086,11875,12534,12192,45442,49382,12420,13440,5820,7500,4560,49354,12120,14712,8859,12900,8460,13787,12654,8842,13197,12771,13560,9540,15055,43875,15523,15656,27488,,11841,13242,5580,14100,5471,9288,13247,1500,9720,14489,7140,14160,3720,19627,14537,8520,12540,7800,14409,10193,28870,19194,10819,,9420,5071,7620,22800,20400,14220,14369,11104,13867,2760,6300,,4680,12144,10714,6540,11121,14580,12300,18611,10735,18060,16140,13177,7651,6960,7800,8880,10027,13980,16080,6092,21079,16829,23357,13499,8042,2520,12420,13182,13385,5460,38355,12440,6900,22231,16555,10784,15120,9180,3900,11535,9857,29595,17594,13085,13978,16723,36129,50663,41552,,5878,38414,18276,15790,17290,15508,35433,21066,13830,43556,,39594,33947,4181
Brent,5745,2980,13313,10972,5118,5926,7314,15018,13578,12258,12409,6192,13313,0,6893,8515,3678,5167,12858,16494,2123,6612,11473,13032,2821,20560,36800,5934,3498,12113,8813,8575,36472,10356,3525,15914,3775,14635,3605,3527,11931,3782,3699,1854,15115,5268,40473,3935,5534,14418,,2774,2795,12475,4098,16733,15126,3708,10975,6715,4336,10758,3378,10278,6751,4535,13675,4194,14035,4396,13391,28625,12072,15970,,9378,13729,5358,14958,9378,4075,4704,18622,3745,13278,11238,,11658,10128,13972,10818,13359,4850,8478,9236,15957,7458,6618,3898,12905,9618,14058,7878,15385,4578,5598,13070,18577,6707,15618,3857,13997,9558,9054,4380,3923,9858,10953,2791,10518,9349,6478,14942,5418,9234,9198,12333,8855,27333,9723,25052,7108,7081,7672,45101,27290,,12296,9774,7775,6568,7547,4906,9944,13815,10979,30674,,9385,25946,12839
Brighton and Hove,9011,7551,16484,18561,9704,8292,11444,19064,17564,15824,13275,9107,15644,7353,0,13244,6404,11531,16484,17587,6369,11378,15039,16838,5612,24906,39226,10064,3524,15764,13184,12044,33260,14324,8564,18901,6704,18044,6486,6551,15339,6508,6815,6584,19904,8859,43979,9783,8560,11752,,5765,5666,15524,5744,20239,18648,6254,14024,10064,7542,14264,7724,13844,10617,6148,17684,8324,17444,7302,16837,33414,17018,20676,,12284,17504,9464,18824,5684,8204,8293,21528,5871,16724,18044,,15644,14054,17538,15584,17405,8384,12824,13255,20663,8144,9524,6501,16951,13244,16964,10784,20091,5624,9824,16728,22803,10033,18841,7063,18762,13064,13184,7106,5293,13904,29519,5062,14564,15832,10752,17128,9403,12884,13784,19019,13321,30659,14127,29841,11154,10347,12413,49447,32056,,16342,5638,10321,9354,13152,7572,6991,16947,13849,34660,,13611,29371,17005
"Bristol, City of",11067,9487,12420,2966,12060,11027,4860,16800,15300,13380,12511,7674,15960,8389,12575,0,9240,11367,14040,18023,8065,13794,14395,14394,7848,14722,42482,6540,9120,15780,7500,12840,11854,7620,8220,20416,9960,18480,8722,8727,11944,7797,9231,8280,19440,10795,36495,9908,9264,12300,,7821,6882,16860,9000,17795,15124,8609,12600,9900,9718,11280,10560,11400,12760,9137,18000,8520,17640,9909,18773,37426,1783,21570,,11340,15060,11280,9180,7980,4140,10109,21064,8800,15300,11340,,13920,7290,14194,9780,11961,5880,10140,1238,21099,6000,12120,8497,12527,10800,18360,9360,19800,9780,2340,14284,16639,12569,5940,8999,16318,11520,7080,9162,8771,10380,36075,7877,11040,5791,7835,14445,5280,6180,14100,11475,12285,25995,13483,33853,12790,13063,33849,51083,33512,,12731,30374,9257,12610,6670,9028,33153,6827,3630,6438,,9667,35927,16481
Bromley,5427,4207,13320,13678,7260,3258,7320,15120,13680,12360,12391,5934,13320,4129,5915,9420,0,7845,12360,16501,3145,8814,11875,12534,2233,21622,35942,5940,2700,12120,10440,8580,59113,10362,5400,15921,3780,14640,3970,3214,12033,3189,3526,4200,15120,5875,40815,6727,5396,13568,,2421,2502,12480,3960,16235,15228,2318,10980,8760,1531,11160,5580,9780,3373,3137,13680,4200,14040,4474,14633,30250,13014,15892,,9840,13231,5340,15600,8460,4920,4709,16744,3665,12780,16560,,11160,9930,14374,10920,13161,5220,9420,10178,16779,6840,6780,2841,13007,9120,14040,7620,15480,,6540,12572,18499,6329,16277,4139,13499,9780,9000,4362,3562,9960,13403,2318,10620,10411,7169,14444,5940,9180,9120,14475,9317,28155,9669,26677,8170,7243,7749,45503,27872,,12398,8679,7517,2890,8194,3688,9008,13772,10925,31496,,10327,27655,12761
Buckinghamshire,9778,7680,15294,17004,10314,9561,7367,16074,14634,13314,17604,9426,17391,4902,10826,12233,7553,0,15300,19457,5638,10968,16188,18656,6336,24437,40553,8094,7733,14931,10194,13013,41887,11207,6680,20307,7793,17211,7215,7067,12987,6590,7424,5994,19331,9048,41042,6354,8329,20345,,6314,6095,16751,8393,20255,16182,7102,15474,11574,8986,13554,4971,12780,10926,8830,17111,3832,16611,8031,17624,33043,14561,19843,,11874,16620,8993,18355,12291,6653,8422,20955,7500,16731,14214,,14394,10337,17968,12654,16095,5577,6827,12604,19830,11573,10373,7170,13961,12120,16391,10440,19258,8273,9173,15844,19210,11000,18372,7192,18778,14394,10247,7655,7678,10914,32646,6310,11574,13375,7527,18277,8393,10487,12951,15497,11963,32166,10219,29470,11521,10394,30420,48883,31685,,14740,28547,12250,10563,6585,8661,12977,16478,11932,36089,,8309,32498,16712
Bury,15614,12907,9240,22297,13620,16048,7920,4920,6660,1915,23611,16254,5100,13262,16595,13620,12960,15327,0,5423,12205,36906,6910,8634,12072,41902,15482,9540,13080,9120,9060,7860,48814,11400,14844,13659,14220,12180,13487,12579,6004,13797,12951,11520,12240,15235,41715,14172,15356,28388,,11841,12822,11040,13800,7571,8928,13049,6480,11280,14189,5820,14520,1947,19327,14430,11820,8460,11280,14218,11753,29770,17754,14899,,9360,3511,10980,21420,20100,14760,14609,13864,13567,1860,6720,,2377,11829,9154,6240,8601,14280,9780,17171,14799,17820,15840,13657,6767,3300,11100,6240,14227,13680,16380,,18379,16529,21977,13319,5522,6720,9780,13122,13213,3780,41175,12260,4680,21931,16255,9645,16260,8580,7200,10695,11417,30495,14083,31417,16090,16423,38949,54383,39812,,5829,36674,18036,15490,14770,14008,38253,19686,12390,43016,,37194,30827,9161
Calderdale,17937,15667,6810,25627,16410,18118,10590,6044,7770,6570,25801,19524,1830,16099,18665,16290,15750,20275,5430,0,15115,36096,12205,12684,14682,45592,51032,12570,15930,7830,9450,6930,51304,12270,18000,12531,15030,10470,16245,15083,8992,16154,15078,14370,11490,17545,45825,17797,18266,31039,,14451,15732,8730,,5626,9438,15900,3390,11670,16859,7290,16650,3870,22777,16570,9990,12690,9810,16899,16823,31540,20424,13369,,11370,5221,10710,24750,21870,16950,17099,13054,15637,2910,9510,,4830,12294,10864,7530,11271,16410,12450,19841,12880,20010,18630,15651,7801,7211,10410,9030,11790,16470,18090,6343,20929,18599,25307,15989,8192,5610,12570,15732,16063,5610,40365,15050,7050,26804,18779,10934,17250,9330,6090,13485,11807,32265,19153,15035,16240,19348,47900,52493,44263,,6208,41125,20226,18700,17440,17038,37443,23016,15060,45506,,40884,34277,7271
Camden,5094,3129,12916,10606,4751,4904,6951,13602,12162,12436,11616,5939,12916,2281,6100,8147,2907,8706,11716,16097,0,6245,9710,11616,1760,19827,36029,5391,3047,11716,8416,8176,36116,9951,4402,15517,3556,14236,2917,2405,10515,2861,2827,2544,14716,,39477,4241,5063,13284,,1657,2289,12076,3682,15317,13710,2992,10576,6316,4154,9462,3011,9196,5958,4177,13276,3376,13636,3565,14229,27342,11861,15214,,8716,12256,4936,14367,8176,3682,4185,16340,3640,11862,10302,,11308,9621,12676,,12672,3982,8002,8623,16375,6771,,2931,11489,8536,13636,6856,15076,4002,5662,12440,17581,5854,14885,2895,12581,9736,8871,2938,3250,8442,10252,2132,9102,8616,5997,13526,4827,8211,9496,11637,7713,24602,8886,,6232,,7371,44405,,,10880,8861,7102,5437,8391,4124,9173,13224,8727,30318,,8518,25109,12083
Central Bedfordshire,10718,7851,17771,21048,2711,11139,,22956,18611,20496,15629,13805,20196,7560,11146,14471,10571,14401,18996,19774,6916,0,45132,23190,7379,43653,43933,,7931,15251,12251,10056,50565,,11051,22167,8676,17531,8973,8815,17493,9248,8282,7931,21191,10326,,9990,11347,20539,,8633,8693,15156,10451,23951,19035,9262,49571,8111,9369,15251,3971,16476,10884,10588,19751,10094,16931,9560,17944,45321,18305,20163,,10271,20316,6396,22871,14351,10031,9760,22815,10191,19476,15671,,18603,,18645,14291,22892,9851,,17566,20150,13391,10871,8372,17292,15816,18251,14136,19578,10331,11951,19028,57930,12220,23128,8650,20871,11256,15431,8993,9247,14531,46526,7768,15371,16349,11559,18235,13811,14591,13271,16586,9748,46046,13434,41748,9646,12714,10785,48801,43963,,17089,40825,16366,11996,13521,11139,13297,22138,15136,44767,,42545,46378,17032
Cheshire East,13978,11785,9871,22661,13051,14643,7864,8371,9544,5611,22442,15085,9931,11960,16359,13984,11971,13090,6871,10732,10856,,0,10378,10783,41710,39513,9571,11851,12931,7326,9451,48622,9364,15208,15888,11851,15211,12078,11290,8363,12328,11422,12064,17244,13706,38785,15556,14067,28752,,10492,11773,12511,12331,10266,9908,11640,8731,9966,13020,6064,13291,4111,20558,12901,15804,7291,14611,12749,14904,39020,18118,17843,,10531,7651,15751,21784,17731,14311,13380,18868,12338,7531,9751,,5431,9793,9458,7351,8965,15751,10144,17535,17830,16651,15271,12308,8571,3331,15931,4386,17431,12511,15784,6483,17750,15960,22341,11970,7641,12511,9304,11833,12404,5644,40225,10851,6304,23838,16473,9048,15091,6544,10291,9858,10043,39745,12914,35447,14681,15989,45957,46991,37923,,7962,34785,16867,15341,14801,12839,37303,20050,12754,42824,,36244,40077,12312
Cheshire West and Chester,17632,15512,11305,25495,16105,17652,11065,12085,11485,8845,43796,20659,9745,15674,19080,16945,15445,19072,8725,10128,14450,,10683,0,14197,44447,44727,12625,15325,14665,11305,9805,51359,12805,17137,19301,14905,17365,15612,14896,6298,15382,14956,13945,18325,17240,43180,18212,17841,31473,,13966,15427,15745,16285,13200,9936,15099,11725,12805,16763,5665,16345,5785,23612,15991,16885,10525,16525,16594,17658,38795,22639,20455,,13105,8396,13885,24505,21925,17245,16434,19949,16052,7045,9205,,7172,12835,8579,8065,7306,16465,12865,20340,19984,20845,18265,15182,7316,4945,17245,6925,18685,16165,18145,8849,48764,20514,25062,15324,7104,10405,12685,15307,15716,4045,44620,14385,8545,26559,18293,6909,19885,10045,12985,17440,15822,39520,15968,35222,19535,19043,,50568,44757,,10443,38919,19921,18395,17496,16793,41698,22771,15475,45561,,40639,37212,15366
City of London,3570,2930,12261,10243,5031,3949,6681,13663,12223,12141,11655,4898,11803,3238,5257,7784,2091,7010,11421,14984,1837,6525,9415,11617,0,19866,35089,5121,1382,10783,7761,7243,58377,9681,3955,14584,1949,13303,2049,3156,10576,2278,2289,3505,13783,3166,39298,4955,4341,12052,,1360,1709,10963,2444,15318,13771,2056,9463,5661,2400,9492,3291,8901,6005,2927,12343,3081,12703,2371,13116,28073,11498,14555,,7607,11961,4003,14384,7664,3344,2536,15407,2754,11863,9943,,11013,9351,12706,9583,12402,4229,7964,8602,15442,6104,4225,1415,11550,8241,12703,6561,14143,2905,5867,12145,17402,4374,14924,1367,12582,8623,8601,2659,2384,8503,10050,999,9163,8655,6540,13527,4904,7941,8563,11822,7058,25290,8615,13788,5491,4763,6652,42914,7737,,10941,8019,6675,4595,7314,3012,8449,13241,8932,29920,,8248,25442,11424
Cornwall,24412,23521,49957,22814,24337,24665,20977,51475,53377,49952,49028,21391,49777,22286,26292,15157,23377,26842,49057,48598,21866,47623,51452,36091,22105,0,58899,22717,22837,49537,27757,46417,38171,24397,22237,56458,22837,55057,22464,22371,52823,21514,22948,21997,54817,24572,55552,22785,22981,34005,,21658,20959,54577,23977,52456,50153,22472,35857,25597,23435,52297,23977,30157,48290,23923,51757,24997,55117,23574,53970,55787,19771,58855,,28477,47377,26857,5617,24697,18217,23826,54221,22968,49837,46957,,46364,23467,55211,32137,26698,19597,23877,19188,57976,21217,25897,22258,53424,29557,51457,25477,56917,23497,18337,49677,45536,26646,10177,22716,49002,47137,23617,22939,23088,50077,34132,21594,52537,23991,22025,54141,19357,22597,38977,51892,27774,,31395,52214,28307,29865,49666,55800,49329,,49035,46191,25543,25907,23771,23945,48970,12814,21319,32373,,53011,51744,52458
County Durham,20868,19425,13821,31198,19821,21773,17601,19059,20361,16701,45412,22455,13641,19090,22676,23601,18861,23628,16641,15824,18046,39507,47836,22035,17613,50503,0,19101,18981,6081,15141,9741,57415,20781,20553,14442,19041,6141,19176,17894,22014,18798,17952,18261,10101,20476,51936,21880,21137,33989,,17442,18543,14001,19701,15716,20965,18860,10521,16641,20594,17181,20661,14241,26128,20115,7821,19341,5541,20010,17594,128971,28755,8773,,17241,16912,12921,42801,26001,20661,20150,11665,20101,15681,11781,,14961,20751,20095,12741,22782,20481,20261,28016,8280,23361,21501,18538,19942,16821,7101,19281,7221,20121,22581,16193,55180,23030,42801,19100,19030,11421,19221,18723,19612,18801,43776,18101,17301,47832,23209,19960,22401,19521,8301,19956,18338,43296,25684,38998,19291,23224,41550,48584,47213,,19679,44075,25527,22291,25472,20389,40854,43148,21303,51617,,49395,43628,13082
Coventry,8787,6247,9300,14158,8160,8668,1500,12600,11160,9840,12811,7974,12720,6212,10295,6600,6600,8425,9720,13761,5245,8334,7714,10014,5232,23242,37982,0,6480,12960,3900,9600,38614,6480,7435,16881,6900,15840,6610,5574,8313,6537,5931,3900,18300,8035,33015,7812,8756,17828,,4881,5982,13560,7440,14795,10442,6210,9480,3540,7918,8220,8027,7020,9793,7931,,3180,14940,7258,,32530,10554,18450,,5760,10260,8220,17160,12180,4500,7529,17764,7207,10260,8100,,8767,4230,11074,6660,9298,6360,3834,9395,17979,8280,9240,6817,8207,6360,,4560,16680,7320,7200,9332,12259,10409,17177,6359,11898,8460,3889,6162,7229,6060,30615,5360,6720,12968,8008,11325,7200,4260,10980,8415,5096,30135,6290,12785,9730,9523,11889,48023,31652,,8531,28514,9857,9550,5170,7768,11786,15283,6150,32816,,4147,6693,13361
Croydon,5187,3967,13080,13258,5640,4168,7500,14700,13260,11940,11011,4554,13080,3709,3335,8760,2700,7185,12540,16261,2699,7134,11215,12714,1564,21202,35402,6120,0,11280,8580,8820,57733,10542,4525,15856,3120,13860,2447,3094,11613,2572,3376,3300,17040,5035,40155,5707,4496,13332,,2301,2082,12240,2160,16415,14808,2840,10740,6480,3058,10500,3900,9960,5473,2416,14820,4380,13080,3238,14393,29830,12354,16012,,8280,13411,5340,15180,5700,4500,4469,18664,1927,12960,14640,,11340,10110,13714,11040,13341,4800,8760,9518,15999,5580,5820,2735,12587,9300,14100,7200,15427,1239,5880,12752,18379,5609,15857,3239,13679,9900,9180,3582,1510,9540,12075,1598,10200,9991,5860,14624,4560,9360,9240,12555,7877,25995,9849,26257,7330,5923,7869,44783,27032,,11978,6014,5851,4990,8789,2608,5757,13352,11105,31076,,9667,26867,12881
